date_info,name,title,content,rating
Reviewed in India on 25 December 2019,Amazon Customer,Best For Gaming Monitor in this Price Range...,Value of Money.... Good Quality Monitor.... Best For Gaming Monitor in this Price Range...,4.0 out of 5 stars
Reviewed in India on 26 October 2019,Anirban Datta,Great,Really great,5.0 out of 5 stars
Reviewed in India on 9 August 2020,muskuraviteja,Damaged product,Damaged product...and the service is not good requesting the people not to buy this product,1.0 out of 5 stars
Reviewed in India on 13 December 2019,Srijith,Disappointed,Purchased 22inch 75hz got 22inch 60hz :(,1.0 out of 5 stars
Reviewed in India on 12 February 2021,Chinmay,Dual screen,Best one for gaming and editing. But hdmi cable doesn't give clear picture.,5.0 out of 5 stars
Reviewed in India on 8 September 2019,UV Kartheek T,Very decent purchase,Very good one,5.0 out of 5 stars
Reviewed in India on 28 June 2020,Nilesh Pradhan,Good👍,Good👍,5.0 out of 5 stars
Reviewed in India on 7 July 2020,Manvendra,Very good moniter,Very good.,5.0 out of 5 stars
Reviewed in India on 24 February 2021,Reach Media,Colours seems to extremely different.,Colour variations. Iam totally disappointed with the product.,1.0 out of 5 stars
Reviewed in India on 1 March 2020,Anandappan C.,Lacks display port .. else wonderful monitor,V good,5.0 out of 5 stars
Reviewed in India on 19 July 2020,NAVISH NAIK,Nice,Really a good monitor for budget gaming . would recommend,5.0 out of 5 stars
Reviewed in India on 27 January 2021,Fironjoy Rabha,Good for gaming,The switches could have been better.otherwise the monitor is okay,5.0 out of 5 stars
Reviewed in India on 21 December 2019,Amazon Customer,Fantastic monitor by Acer,Choose for greatness in this prise segment,4.0 out of 5 stars
Reviewed in India on 9 March 2020,Rupesh R Sonawane,Good,Good. for gaming,4.0 out of 5 stars
Reviewed in India on 23 September 2020,Jaswant singh,I love it,"Its best in everything 75hz, 1080p what more do u need",5.0 out of 5 stars
Reviewed in India on 9 February 2021,shubham goel,Best choice in this budget section,Best for graphic and video editing purpose,4.0 out of 5 stars
Reviewed in India on 26 November 2019,Amazon Customer,Gamers Go for it,If you want to make a small upgrade from 60hz this is product and yeah go for 27inch will be good,5.0 out of 5 stars
Reviewed in India on 24 October 2020,jayson ruzario,good,"good product , no complaints",5.0 out of 5 stars
Reviewed in India on 16 December 2019,Kartik,Worth money.,Very good picture qualit..can be used for multipurpose and 2 hdmi port really helps.,5.0 out of 5 stars
Reviewed in India on 5 March 2020,godastuswaraj,Awesome product,Super product,5.0 out of 5 stars
Reviewed in India on 25 June 2020,Jishnu b,Awesome,Good look,4.0 out of 5 stars
Reviewed in India on 31 May 2020,shivam s.,It's good-looking!,Over all good product! Easy to assemble as well.. Worth buying under 8k.,5.0 out of 5 stars
Reviewed in India on 2 June 2020,Rehaan Sikri ,good quality monitor,ideal for competitive gaming,5.0 out of 5 stars
Reviewed in India on 7 February 2020,Vijesh B.,Best Budget Monitor !!,Best for Budget PC building !!,4.0 out of 5 stars
Reviewed in India on 17 May 2020,Naresh,Good delivery,Good delivery,5.0 out of 5 stars
Reviewed in India on 5 March 2020,Bhemabhai parmar,Monitor osd lock Acer nitro,Osd lock please. help,1.0 out of 5 stars
Reviewed in India on 12 November 2019,samriddhi verma,Beast,The best product. This monitor provides free sync as well. HD quality 1920x1080 75hz monitor,5.0 out of 5 stars
Reviewed in India on 14 December 2019,Harry,For gaming pc,"You can buy for you bugget gaming PC , this is cheep in cost and best for use, love aser ❤❤❤👍👍👍😇😇",4.0 out of 5 stars
Reviewed in India on 8 August 2020,Rakul,Spend more for good,U can go for 144hz for gaming this is a 60hz moniter,5.0 out of 5 stars
Reviewed in India on 7 March 2020,vijay,Gaming monitor,Good gaming monitor,4.0 out of 5 stars
Reviewed in India on 22 June 2020,Aakarsh Srivastav,Just what I needed,I got more than expected and is totally worth the money,5.0 out of 5 stars
Reviewed in India on 22 February 2021,ranjan kumar,Ok,Nothing,3.0 out of 5 stars
Reviewed in India on 9 September 2019,Manoj S.,Nice Moniter For Gaming,Very nice product,4.0 out of 5 stars
Reviewed in India on 25 September 2019,Suraj,AWESOME,"Got that in time, Looks good. Working great, Great for gaming with no doubt.",5.0 out of 5 stars
Reviewed in India on 4 June 2020,Shrikant Hiremath,3d artists and gamera,Well desginged monitor.For gaming and 3d Artists.,4.0 out of 5 stars
Reviewed in India on 26 October 2019,Amazon Customer,Hits the sweet spot,very good for gaming with great value for money,5.0 out of 5 stars
Reviewed in India on 24 February 2021,suyog,It's good for this budget,It's good for this budget,5.0 out of 5 stars
Reviewed in India on 14 March 2021,Mubin K.,Worst delivery,"Nice product but ,Worst delivery",5.0 out of 5 stars
Reviewed in India on 18 July 2020,Aravind Sunkari,good monitor,worth every penny. good wife monitor for office use,5.0 out of 5 stars
Reviewed in India on 24 September 2020,Soumyadeep s.,Awesome,Awesome,5.0 out of 5 stars
Reviewed in India on 11 February 2020,Jay Goti,Satisfied..!,Great monitor in this segment. Go for it...,5.0 out of 5 stars
Reviewed in India on 2 March 2020,Mithun Kanojia,Great quality with low price,It worthy to buy this monitor happy with the picture quality..,5.0 out of 5 stars
Reviewed in India on 15 February 2021,sekar,For Gaming,Nice,5.0 out of 5 stars
Reviewed in India on 21 November 2019,Amazon Customer,Great buy,Its a great buy,5.0 out of 5 stars
Reviewed in India on 28 October 2019,Harsh bangarh,Great monitor,Great for gaming.. got it for 7200 only,5.0 out of 5 stars
Reviewed in India on 24 June 2020,G,best price,very good,5.0 out of 5 stars
Reviewed in India on 16 December 2020,amit singh,Not as expected,It's okk kind of monitor,4.0 out of 5 stars
Reviewed in India on 24 January 2020,07thatsme,B,Perfect for 1080p gaming and movies. 75fps,5.0 out of 5 stars
Reviewed in India on 19 January 2021,Ar.dilipnimesh,Not working,Screen is not working,1.0 out of 5 stars
Reviewed in India on 3 October 2020,abhijeet halse,Best ever for budget gaming monitor,Best for gaming,5.0 out of 5 stars
