date_info,name,title,content,rating
Reviewed in India on 28 January 2020,gunjan,"Mixed bag, internet calls do not work","Good product. Total VFM.. Good audio.. Good mic.. Cons:. Doesn't have mute button.. Cannot take webex call (Internet call) from webex mobile app.. I am able to connect it to my Windows laptop but the audio doesn't transfer to the earphone because the driver is missing. Couldn't find it anywhere online. Tried to contact the JBL support, got no response.. I bought the earphone especially to take my work calls on my phone (internet call) or laptop and that is where this fails.",3.0 out of 5 stars
Reviewed in India on 28 June 2020,V D,Sound quality during phone calls are bad!!! Cant  hear.,Sound quality during phone calls are bad.. The voice is not that sharp enough. Microphone not working properly when connected to whats app calls and normal voice calls. Have to hold the mic close but still not of much help. When i disconnect the bluetooth and directly use the phone then the caller says now we can hear u sharp n clear. Music sounds good though but very bad with calls.,2.0 out of 5 stars
Reviewed in India on 15 February 2020,Harpreet Singh,Awesome Product,"""Glide 120 Metal in-Ear Wireless Flexband Earphones, is one of the best Bluetooth headset available in the online market. It has an excellent Bluetooth connectivity and is IPX5 Sweatproof. It is a new addition to the competitor headsets since 2019, December. It uses the latest technology and features for giving a premium audio experience to the users. It is a hot-selling product on Amazon with a high rating.. It has a Dual equalizer feature which helps the users switch between normal to the bass mode of music as per your mood. You can use the volume buttons on the remote to reduce or increase the bass. It is a very amazing technology embedded on to the Glide 120. The latest Bluetooth chipset gives better connectivity with the device without any barrier interruption in music. The metal earbuds give a sturdy feel and sits tight in the ears. I go jogging every morning and the Glide 120 is super comfy and user friendly. Adding to this, the battery life is my main concern while choosing wireless earphones. The Glide 120 provides amazing battery life with a less charging time. All good things in one package!. Another feather is the hands free calling feature on the remote of this headset. Once you connect your phone with Glide 120, you need not take out your phone again for receiving your calls at least. Pick up or cut the call from the remote of the headset itself. Coming to the remote, three buttons on it are used for operating many functions. The functions of these buttons are receiving and disconnecting calls, changing tracks, forward or reverse the music track increase & decrease volume and play & pause. Not only that, but it also supports Google Assistant from your device. Now, you do not need to unplug your Glide 120 to speak to your virtual assistant. So, do not waste much time. If you are a music lover, then go for the Glide 120 today and place your order right away.""",5.0 out of 5 stars
Reviewed in India on 17 October 2020,Prajwal.k.v,Your wish to buy!,"Earphones are good..I didn't feel difference between this and boAt Rockerz 255 .. But for warranty they don't have Infinity glide120 as a option(in the website). Then what is the point of giving warranty card and informing buyers to create account in JBL Harman website and select the model you have, so warranty period starts?. Built quality is poor. Boat Rockerz 255 has a very good and better built quality than infinity glider 120. I'm Disappointed with the product!",3.0 out of 5 stars
Reviewed in India on 26 August 2020,Sachin Mane,Go for this,"Hello Guys,. These reviews after using few days.. Initially heard from friends using bluetooth earphone make headache by its radiation. As this is not in ear buds so that, radiations are not effected as I heard from others. Even after long use as well.. Well designed, fit properly inside ear. It will perfect if you are using while running on treadmill or on cycling. It has good connectivity if your device is in one room and while working you might need to go other room it gives same sound clarity without any disturbance on calling as well.. Sound is nice and clear for music it has equaliser settings to change sound mode.. Battery backup and magnetic connection is nice but recommend to keep in good earphone box or in pouch when not in use.",5.0 out of 5 stars
Reviewed in India on 2 July 2020,Vikas Pal,Worst earphones,"Build quality is good for the price. If you use this to listen music from mobile this is ok, but when I connected to laptop I can hear lot of cracking and creaking noise whether it is chat or videos played on youtube. I had being using Bose wireless soundsprt for 3 years but left ear piece started giving problem and in this lockdown phase all Bose service center are closed so left with buying an cheap option. This one from JBL is just at 10% of the cost of bose so I feel this is good at the price. No noise cancellation are there and neither there is an app for this earphone.. Final verdict - Good to use with mobile phones and not for office calls on laptop like cisco webex or teams.",1.0 out of 5 stars
Reviewed in India on 13 July 2020,Amazon Customer,Not worthy... pay some extra money and buy a decent bluetooth earphone,Received the product in good packaging condition.. Very less pros... Cons-. 1- not connecting properly with my samsung M21 mobile phone. Connection loss and distorted sound even after connection.. 2- sound quality is not good as per JBL standard.. Overall I am not happy with this earphone. I want to replace this with Sony. I am ready to pay extra money for another good earphone. But unfortunately amazon is not giving that option... ☹,1.0 out of 5 stars
Reviewed in India on 29 February 2020,Amazon Customer,Absolutely fantastic for the price,"Impressed with the JBL N120. The sound was quiet loud. The sound output was very good along with decent bass. Had bought Realme buds air for 4k and had to return it since it was not good for calls. Had done enough research on glide N120, boat 255, Realme buds wireless, Skullcandy inkd, Samsung level u, boult neckband etc.. +ve. Build is very good even though it’s plastic except for earbuds which has metal in it.. You get a voice over for every operation that you do like switch on/off pairing on/off, bass mode etc which is very helpful. Sound output in terms of volume is quiet loud. The Bass is also good and this is very relative as to how much one would like to have.. The neckband as such is get flexible unlike others as you can easily wrap them and carry along. Call quality over mic was good as well. If you want your earphones to be out of the world for calls during all noisy scenarios then you have to go for active noise cancellation only which will cost you more than 10k.. I am yet to test the battery life but it took not more than 1.5 hours to fully charge.. I am using it with iPhone so no issues on connectivity with iOS as well. Long press on the power button automatically calls the last dialled number.",5.0 out of 5 stars
Reviewed in India on 15 January 2020,Prajwal,A considerable product,"Very good sound quality and very good battery life. On a single charge, it lasts upto 8 to 9 hrs with music volume 50% or less.. It could be an alternative for JBL lovers at comparitively lower price from the same manufacturer specifically for india.. Should be considered👍",5.0 out of 5 stars
Reviewed in India on 25 March 2020,shiek,If you are a premium product user then don't go for it.,For that price i can't say anything.good in this budget.but you have to compromise about the quality of this product.call quality isn't good.. If you are a premium product user then don't go for it.,1.0 out of 5 stars
Reviewed in India on 26 January 2020,Aryan Rathi ,Worth it...,"Got it for ₹1199,. Bass is super awesome (deep bass mode is just blast). Battery backup is around 5-8 hours (depends upon usage like volume or deep/normal bass mode). Fitting is also good(two extra earcaps in box). Lenth is slightly long(you may feel it weird). WARNING: DON'T CHARGE IT WITH FAST CHARGER",5.0 out of 5 stars
