date_info,name,title,content,rating
Reviewed in India on 15 June 2018,Abhay kumar,One of the best under 10k,"Bought it for 7,999/- including cashback and all. Bringhtness control & contrast control is just perfect.. Colors look quiet well.. Blacks are very clear in movies and games.. No need to change settings for CSGO.. Reader mode is also good but i just change contrast and brightness to suit me.. Viewing angles are good. That cable holder is very useful.. And color calibration is seems good to me.. Edit: cable holder is not that sturdy,. Have some driver issues, screen tearing while playing videos and games at 60fps of higher",4.0 out of 5 stars
Reviewed in India on 17 May 2018,Amir Ansari,Budget gaming monitor,One of the best monitor you can get under 10k. I got it under Rs 8999 so it was a great deal. Pros :. Matt finish no reflection. Very slim bezels. Easy assembly. You can adjust it vertical. Cons :. It requires drivers to be installed no plug and play.. There was no amazon cardboard box the bill was pastes on the box of lg in which the monitor came and the serial number is not readable.. But you can easily find them on lg product website under support section. I'm currently using it with my laptop and it is a big upgrade from it's small 15.6 inch screen and 720p resolution,5.0 out of 5 stars
Reviewed in India on 10 December 2019,Varun,Perfect for: Gaming & Working!,"Been using this monitor for over 6 months and I think it was the best in it’s category.. For Gaming: Great @ 60 Hz, Bad because I was getting another monitor by LG which was supporting 75 Hz. But again the Gaming Monitor by LG had so many issues like dead pixels, glare and etc.. In short this monitor is okay if you own a GTX 1050 Ti or lower since most of the games run @ 60FPS with that card. Get a 144 Hz monitor with a GTX 1060 or higher.. For working: Perfect, no issues at all. No flickering, no dead pixels, work non stop without any annoyance.. I’d give it a 8.5/10. I just removed a few points because the swivel is not actually a swivel, integrated speakers would’ve been amazing.. Please click helpful if you liked my review :)",5.0 out of 5 stars
Reviewed in India on 18 July 2019,Aditya Kumar,Best Budget Monitor For Gaming Console,"I bought this monitor for my PS4 console. The picture quality produced by the monitor is amazing as it has IPS panel. The display is also anti-glare with mate finish.. It has only 1 HDMI port,1 VGA port and 1 DVI port.And also 1 aux port for audio.",4.0 out of 5 stars
Reviewed in India on 5 September 2019,Michael Lachhandama,Vertical Red line in the right side of the screen,"I gave 2 star Just because of Vertical Red line on the screen, otherwise, its worth to buy under 10K.. I received my order on 2.9.2019, unfortunately there's some problem in the screen.. I think it need to install Monitor driver. after installing monitor driver still having the same problem.. i change the cables, still its not working.. So, i ask for replacement.",2.0 out of 5 stars
Reviewed in India on 11 December 2018,ganesh,Fragile screen with thin edges,"Monitor stand poorly designed with forward tilt, little jerk and monitor fell flat on the front panel, screen damaged is damaged and gone forever..thin bezel is not good for strength of the panel..I only buy Dell monitors which are robust, went for this seeing the review.. Even display quality is not that great, too bright. May be good for games but not for regular viewing.",1.0 out of 5 stars
Reviewed in India on 20 June 2019,Amazon Customer,Red blinking line appears,"I just got this monitor 3 to 4 days ago... And today i just set up my new system, and npw all of a sudden a red horizontal start to blink on the bottom area of the screen.. Near the windows search bar which is very annoying.. Totally going for a replacement.. Didn't expect fomrom LG. Dissapointed..",1.0 out of 5 stars
Reviewed in India on 19 June 2017,Chittaranjan M,Great budget IPS display! Perfect for Graphic/UI Designers,"IPS works great according to the price! Value for money IPS upgrade for graphic designers and photographers if you are using TN panel. You can't work on the TN panels after using IPS :). The biggest advantage is the levels of whites and darks. For example you can distinguish between 100% white and 99% white on IPS, which is impossible on TN. IPS is a must have for UI Designers.",5.0 out of 5 stars
Reviewed in India on 21 February 2020,Matches Malone,"Best budget 1080p 60Hz monitor for gaming, multimedia consumption",This monitor is one of the most recommended for those who want a good quality gaming/multimedia monitor at a budget price. It has Freesync so when paired with an AMD GPU you get stutter free gaming. IPS panels are gorgeous and visuals look stunning. Bezels are very thin and the anti glare coating is a nice addition. Cons:. 1. No Display Port (So no Freesync via Nvidia cards). 2. No height adjustable but supports VEGA mounts,5.0 out of 5 stars
Reviewed in India on 9 June 2020,Raj,"As a monitor its good, But features not available as description.","Hi,. They say multi-screen display but this is not active with this product. My need was that but after observing its not supported its dis-appointing and but adv says it on amazon page..... Like this many other features are missing. Please be careful on your needs on this costly monitor of 8,899.00Rs.. Also, as per description they say ""1 Headphone Port"" which is not true. Please correct it amazon.. no usb port very big disappointment at this price.. Thanks",2.0 out of 5 stars
